"shot_id","product_gid","product_name","role","requirement","destination","room_context","source_path","sha256","creator","capture_date","master_path","transformation_history","owner_licensor","channels","territory","duration","restrictions","release_evidence","width_px","height_px","crop_focal_guidance","alt_text","approver","approval_date","review_notes","status"
"P1-primary","gid://shopify/Product/10067255558430","Ambre Egyptian","primary","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P1-label-detail","gid://shopify/Product/10067255558430","Ambre Egyptian","label-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P1-material-detail","gid://shopify/Product/10067255558430","Ambre Egyptian","material-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P1-packaging","gid://shopify/Product/10067255558430","Ambre Egyptian","packaging","conditional: final packaging confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P1-scale-context","gid://shopify/Product/10067255558430","Ambre Egyptian","scale-context","conditional: packaged dimensions confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P2-primary","gid://shopify/Product/10067255394590","Blanc de Blanc","primary","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P2-label-detail","gid://shopify/Product/10067255394590","Blanc de Blanc","label-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P2-material-detail","gid://shopify/Product/10067255394590","Blanc de Blanc","material-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P2-packaging","gid://shopify/Product/10067255394590","Blanc de Blanc","packaging","conditional: final packaging confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P2-scale-context","gid://shopify/Product/10067255394590","Blanc de Blanc","scale-context","conditional: packaged dimensions confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P3-primary","gid://shopify/Product/10067989987614","Bois de Santal","primary","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P3-label-detail","gid://shopify/Product/10067989987614","Bois de Santal","label-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P3-material-detail","gid://shopify/Product/10067989987614","Bois de Santal","material-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P3-packaging","gid://shopify/Product/10067989987614","Bois de Santal","packaging","conditional: final packaging confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P3-scale-context","gid://shopify/Product/10067989987614","Bois de Santal","scale-context","conditional: packaged dimensions confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P4-primary","gid://shopify/Product/10068135641374","Été Mystique","primary","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P4-label-detail","gid://shopify/Product/10068135641374","Été Mystique","label-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P4-material-detail","gid://shopify/Product/10068135641374","Été Mystique","material-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P4-packaging","gid://shopify/Product/10068135641374","Été Mystique","packaging","conditional: final packaging confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P4-scale-context","gid://shopify/Product/10068135641374","Été Mystique","scale-context","conditional: packaged dimensions confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P5-primary","gid://shopify/Product/10067255460126","Noir de la Nuit","primary","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P5-label-detail","gid://shopify/Product/10067255460126","Noir de la Nuit","label-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P5-material-detail","gid://shopify/Product/10067255460126","Noir de la Nuit","material-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P5-packaging","gid://shopify/Product/10067255460126","Noir de la Nuit","packaging","conditional: final packaging confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P5-scale-context","gid://shopify/Product/10067255460126","Noir de la Nuit","scale-context","conditional: packaged dimensions confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P6-primary","gid://shopify/Product/10067255492894","Santuaire Serein","primary","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P6-label-detail","gid://shopify/Product/10067255492894","Santuaire Serein","label-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P6-material-detail","gid://shopify/Product/10067255492894","Santuaire Serein","material-detail","required","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P6-packaging","gid://shopify/Product/10067255492894","Santuaire Serein","packaging","conditional: final packaging confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"P6-scale-context","gid://shopify/Product/10067255492894","Santuaire Serein","scale-context","conditional: packaged dimensions confirmed","Shopify product media","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"L1-lifestyle","","","lifestyle","required: select product and approved room context","Sanity editorial media; exact field pending","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"L2-lifestyle","","","lifestyle","required: select product and approved room context","Sanity editorial media; exact field pending","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
"L3-lifestyle","","","lifestyle","required: select product and approved room context","Sanity editorial media; exact field pending","","","","","","","","","","","","","","","","","","","","","pending capture and acceptance"
